"Inn","Score","Out","RoB","Pit.cnt.","R.O","X.Bat","Batter","Pitcher","wWPA","wWE","Play.Description","Date","Result","value"
"b1","2-0","1","---","2,(0-1) CX","","SFG","Barry Bonds","Casey Fossum","2%","73%","Single to RF (Line Drive to CF-RF)",2004-05-25,"Single",1
"b4","2-0","0","---","3,(1-1) BCX","O","SFG","Barry Bonds","Casey Fossum","-2%","77%","Flyball: CF",2004-05-25,"Flyball",1
"b6","3-0","1","---","4,(2-1) CBBX","R","SFG","Barry Bonds","Casey Fossum","4%","95%","Home Run/Fan Interference (Line Drive)",2004-05-25,"Home Run",1
"b7","4-0","2","12-","3,(1-1) .CBX","O","SFG","Barry Bonds","Randy Choate","-1%","96%","Groundout: 3B-1B",2004-05-25,"Groundout",1
"b1","0-0","2","1--","6,(3-2) BCFBB>X","O","SFG","Barry Bonds","Casey Daigle","-2%","50%","Flyball: CF (Deep CF)",2004-05-26,"Flyball",1
"b4","1-1","0","---","5,(2-2) BFSBX","R","SFG","Barry Bonds","Casey Daigle","12%","68%","Home Run (Fly Ball)",2004-05-26,"Home Run",1
"b6","2-1","0","---","2,(1-0) BX","O","SFG","Barry Bonds","Casey Daigle","-2%","72%","Lineout: LF (Deep LF)",2004-05-26,"Lineout",1
"b8","2-3","1","12-","4,(3-0) .BBBB","","SFG","Barry Bonds","Randy Choate","15%","56%","Walk; Tucker to 3B; Grissom to 2B",2004-05-26,"Walk",1
"b2","0-1","0","---","2,(0-1) CX","O","SFG","Barry Bonds","Steve Sparks","-3%","42%","Popfly: 2B",2004-05-27,"Popfly",1
"b3","2-1","2","1-3","4,(3-0) IIII","","SFG","Barry Bonds","Steve Sparks","2%","69%","Intentional Walk; Alfonzo to 2B",2004-05-27,"Walk",1
"b5","4-2","1","---","1,(0-0) X","","SFG","Barry Bonds","Steve Sparks","2%","81%","Single to LF (Ground Ball thru LF-CF)",2004-05-27,"Single",1
"b7","4-3","1","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Mike Koplove","1%","82%","Intentional Walk",2004-05-27,"Walk",1
