"year","Player","school","conference","1B","BB","HBP","IBB","SB","CS"
2018,"Ready, Nic","Air Force","Mountain West",38,22,4,2,6,1
2018,"Robb, Ryan","Air Force","Mountain West",64,18,3,0,19,9
2018,"Ward, Tyler","Air Force","Mountain West",14,9,3,0,2,0
2018,"Wiss, Drew","Air Force","Mountain West",45,26,12,1,16,0
2018,"Zabojnik, Tyler","Air Force","Mountain West",50,16,6,0,6,1
2019,"Blatchford, Cole","Air Force","Mountain West",4,2,3,0,0,1
2019,"Brown, Colby","Air Force","Mountain West",44,18,3,1,2,3
2019,"Dau, Rob","Air Force","Mountain West",36,15,3,0,3,0
2019,"Easley, Ashton","Air Force","Mountain West",40,11,6,0,30,4
2019,"Gambale, Christian","Air Force","Mountain West",21,10,5,0,3,2
2019,"Gillman, Tommy","Air Force","Mountain West",26,18,15,0,7,5
2019,"Imperial, Jonathan","Air Force","Mountain West",3,2,0,0,1,1
2019,"Jones, Daniel","Air Force","Mountain West",6,9,1,0,3,0
2019,"Martinez, Gabe","Air Force","Mountain West",31,24,9,0,2,1
2019,"Pup, Alexander","Air Force","Mountain West",38,16,1,0,8,1
2019,"Ready, Nic","Air Force","Mountain West",30,17,2,2,8,1
2019,"Wiss, Drew","Air Force","Mountain West",25,36,13,0,11,5
2013,"Ahart, Devan","Akron","MAC",45,14,5,1,13,6
2013,"Bova, Anthony","Akron","MAC",4,4,0,0,1,0
2013,"Giddings, Cale","Akron","MAC",15,7,1,0,0,1
2013,"Havrilak, Joey","Akron","MAC",22,20,8,2,5,3
2013,"LaRocca, Matt","Akron","MAC",35,16,3,0,5,1
2013,"Mosbarger, Daulton","Akron","MAC",10,20,1,0,3,1
2013,"Rembielak, Matt","Akron","MAC",44,15,3,0,4,1
2013,"Rohan, Gerrad","Akron","MAC",13,3,1,0,1,0
2013,"Salem, Billy","Akron","MAC",8,1,1,0,1,0
2013,"Sheltrown, James","Akron","MAC",18,16,4,0,3,0
2013,"Stewart, Brady","Akron","MAC",44,11,5,0,1,0
2013,"Turocy, Jared","Akron","MAC",37,9,2,2,13,3
2013,"Washington, Darius","Akron","MAC",7,1,0,0,1,0
2014,"Ahart, Devan","Akron","MAC",57,30,4,7,27,6
2014,"Havrilak, Joey","Akron","MAC",26,15,1,0,10,3
2014,"Iero, Dom","Akron","MAC",14,10,3,0,1,2
2014,"LaRocca, Matt","Akron","MAC",21,9,1,1,1,0
2014,"Lawrence, Dan","Akron","MAC",12,10,3,0,1,0
2014,"Lees, Brian","Akron","MAC",22,12,0,0,1,1
2014,"Meeker III, James","Akron","MAC",50,21,1,0,2,0
2014,"Mosbarger, Daulton","Akron","MAC",23,15,4,0,2,0
2014,"Rembielak, Matt","Akron","MAC",30,16,2,0,1,0
2014,"Salem, Billy","Akron","MAC",20,14,3,0,1,0
2014,"Sheltrown, James","Akron","MAC",37,34,20,1,13,1
2014,"Simonton, Kris","Akron","MAC",56,23,5,1,12,2
2014,"Stewart, Brady","Akron","MAC",27,7,3,0,2,0
2015,"Bova, Anthony","Akron","MAC",7,6,1,0,3,1
2015,"Carmichael, Derek","Akron","MAC",4,4,1,0,1,0
2015,"Dirienzo, Alex","Akron","MAC",12,3,3,0,1,0
2015,"Havrilak, Joey","Akron","MAC",55,32,6,2,17,3
2015,"Iero, Dom","Akron","MAC",48,23,9,0,7,4
2015,"Lees, Brian","Akron","MAC",48,28,2,1,2,0
2015,"Mamarella, Mason","Akron","MAC",35,10,11,0,14,3
2015,"Mosbarger, Daulton","Akron","MAC",33,34,2,3,8,1
2015,"Rembielak, Matt","Akron","MAC",32,11,1,0,2,0
2015,"Rohan, Gerrad","Akron","MAC",42,14,3,1,5,0
2015,"Salem, Billy","Akron","MAC",28,11,1,1,0,1
2015,"Simonton, Kris","Akron","MAC",45,10,6,0,13,3
2015,"Washington, Darius","Akron","MAC",10,2,1,0,0,1
2013,"Baxter, Cary","Alabama","SEC",3,4,2,0,1,0
2013,"Blanchard, Ryan","Alabama","SEC",11,8,2,0,4,1
2013,"Booth, Brett","Alabama","SEC",51,27,8,2,5,1
2013,"Cucjen, Daniel","Alabama","SEC",4,4,0,0,1,0
2013,"Miller, Andrew","Alabama","SEC",32,18,8,2,2,2
2013,"Moore, Ben","Alabama","SEC",47,25,4,0,16,3
2013,"Overstreet, Kyle","Alabama","SEC",55,23,3,0,0,2
2013,"Roberts, Kenny","Alabama","SEC",42,32,10,2,7,4
2013,"Salem, Georgie","Alabama","SEC",65,27,2,0,9,8
2013,"Smith, Austen","Alabama","SEC",38,23,2,0,3,1
2013,"Vincent, Chance","Alabama","SEC",21,3,3,0,0,1
2013,"White, Mikey","Alabama","SEC",52,19,10,1,3,5
2014,"Cucjen, Daniel","Alabama","SEC",14,10,0,0,2,1
2014,"Hughston, Casey","Alabama","SEC",34,5,3,0,0,2
2014,"Moore, Ben","Alabama","SEC",50,18,8,0,7,2
2014,"Overstreet, Kyle","Alabama","SEC",51,18,2,0,0,1
2014,"Salem, Georgie","Alabama","SEC",59,12,5,2,6,3
2014,"Smith, Austen","Alabama","SEC",39,29,13,1,5,1
2014,"Vincent, Chance","Alabama","SEC",40,15,2,0,1,0
2014,"Wass, Wade","Alabama","SEC",43,22,10,1,2,0
2014,"Webb, Hunter","Alabama","SEC",19,7,5,1,5,1
2014,"White, Mikey","Alabama","SEC",53,27,14,0,3,2
2015,"Avant, Chandler","Alabama","SEC",58,17,5,0,11,3
2015,"Colburn, Riley","Alabama","SEC",18,4,6,0,3,2
2015,"Cucjen, Daniel","Alabama","SEC",8,1,2,0,2,1
2015,"Haynie, Will","Alabama","SEC",16,21,5,2,1,1
2015,"Henry, Cody","Alabama","SEC",29,26,2,1,0,1
2015,"Hughston, Casey","Alabama","SEC",54,22,2,1,12,2
2015,"Overstreet, Kyle","Alabama","SEC",51,20,1,1,1,3
2015,"Salem, Georgie","Alabama","SEC",48,18,4,0,17,3
2015,"Vincent, Chance","Alabama","SEC",34,16,6,0,4,3
2015,"White, Mikey","Alabama","SEC",45,31,13,4,8,1
2015,"Wilhite, J.C.","Alabama","SEC",47,10,5,0,2,0
2016,"Avant, Chandler","Alabama","SEC",21,7,2,0,5,1
2016,"Coker, Zack","Alabama","SEC",0,1,0,0,0,1
2016,"Cucjen, Daniel","Alabama","SEC",20,8,1,0,3,0
2016,"Henry, Cody","Alabama","SEC",27,24,7,2,3,0
2016,"Holcombe, Keith","Alabama","SEC",28,15,7,1,4,3
2016,"Poe, Taylor","Alabama","SEC",4,0,0,0,0,1
2016,"Salem, Georgie","Alabama","SEC",35,22,2,1,8,5
2016,"Short, Connor","Alabama","SEC",16,13,3,0,3,0
2016,"Taylor, Chandler","Alabama","SEC",34,40,5,2,7,1
2016,"Vance, Cobie","Alabama","SEC",48,25,5,0,2,3
2016,"Vincent, Chance","Alabama","SEC",53,10,5,0,2,0
2016,"Webb, Hunter","Alabama","SEC",25,11,3,0,3,1
2016,"Wood, Gene","Alabama","SEC",4,5,5,0,3,0
2017,"Alexander, Hunter","Alabama","SEC",33,22,1,2,0,3
2017,"Avant, Chandler","Alabama","SEC",47,12,9,0,6,6
2017,"Carey, Logan","Alabama","SEC",14,12,2,0,3,0
2017,"DeVinny, Tanner","Alabama","SEC",14,28,3,0,0,1
2017,"Henry, Cody","Alabama","SEC",34,13,4,2,1,4
2017,"Kaufman, Kyle","Alabama","SEC",37,11,11,0,2,0
2017,"McCleney, Walker","Alabama","SEC",9,6,6,0,3,0
2017,"Short, Connor","Alabama","SEC",18,15,5,0,1,2
2017,"Taylor, Chandler","Alabama","SEC",26,32,2,2,7,4
2017,"Vance, Cobie","Alabama","SEC",49,24,0,1,2,2
2017,"Wood, Gene","Alabama","SEC",13,9,2,0,1,1
2017,"Wright, Connor","Alabama","SEC",2,1,0,0,1,1
2018,"Alexander, Hunter","Alabama","SEC",23,23,6,0,1,1
2018,"Avant, Chandler","Alabama","SEC",43,29,9,0,2,4
2018,"Breaux, Joe","Alabama","SEC",27,32,17,0,7,1
2018,"Holcombe, Keith","Alabama","SEC",39,12,11,1,6,2
2018,"Manning, Jett","Alabama","SEC",38,17,5,0,3,2
2018,"McCleney, Walker","Alabama","SEC",9,16,4,0,3,1
2018,"Praytor, Sam","Alabama","SEC",32,25,5,2,1,0
2018,"Taylor, Chandler","Alabama","SEC",16,38,3,2,4,2
