"year","BA","OBP","SLG","school","K%","BB%","ISO","OPS","tourn_appearance","cws_appearance","cws_final","cws_champ","RC.PA","K-BB%","ERA","SO_PCT","BB_PCT","SO_BB_Ratio","FIP","BAA","OBPA","SLGA","OPSA","GO.O","FO.O","XB.PA","HR.PA","RBI.PA","SF.PA","SH.PA","DP.PA","R.PA","RA.BF","XBA.BF","HRA.BF","KL.BF"
2015,0.236,0.306,0.327,"Gardner-Webb",0.212,0.072,0.091,0.633,0,0,0,0,0.087,0.14,3.92,0.204,0.066,3.082,3.83,0.276,0.331,0.376,0.707,0.373,0.279,0.054,0.012,0.094,0.008,0.012,0.018,0.107,0.121,0.06,0.012,0.053
2018,0.244,0.321,0.35,"Brown",0.215,0.077,0.106,0.671,0,0,0,0,0.096,0.138,5.3,0.141,0.082,1.71,4.49,0.289,0.372,0.438,0.81,0.314,0.408,0.055,0.016,0.107,0.007,0.009,0.011,0.117,0.149,0.072,0.026,0.043
2017,0.258,0.358,0.319,"Coppin St.",0.202,0.118,0.061,0.677,0,0,0,0,0.096,0.084,7.22,0.139,0.112,1.237,4.44,0.315,0.407,0.451,0.858,0.308,0.405,0.041,0.004,0.11,0.01,0.017,0.014,0.131,0.205,0.072,0.016,0.046
2013,0.279,0.37,0.372,"Rice",0.136,0.104,0.093,0.742,1,0,0,0,0.111,0.032,2.84,0.206,0.084,2.464,3.84,0.225,0.31,0.29,0.6,0.399,0.252,0.05,0.011,0.113,0.01,0.032,0.022,0.125,0.093,0.039,0.006,0.054
2014,0.257,0.351,0.369,"Little Rock",0.206,0.098,0.112,0.72,0,0,0,0,0.108,0.108,3.9,0.169,0.099,1.704,4.17,0.254,0.35,0.356,0.706,0.349,0.331,0.057,0.017,0.114,0.007,0.018,0.017,0.126,0.124,0.059,0.012,0.055
2015,0.279,0.35,0.392,"Cal Poly",0.166,0.084,0.113,0.742,0,0,0,0,0.116,0.082,4.15,0.183,0.091,2.01,3.89,0.274,0.349,0.359,0.708,0.36,0.316,0.061,0.013,0.125,0.01,0.017,0.014,0.139,0.129,0.051,0.006,0.048
2013,0.264,0.34,0.336,"LMU (CA)",0.153,0.081,0.072,0.676,0,0,0,0,0.095,0.072,3.17,0.183,0.075,2.441,3.99,0.235,0.32,0.321,0.641,0.322,0.36,0.049,0.002,0.093,0.005,0.034,0.02,0.109,0.103,0.05,0.01,0.059
2019,0.29,0.393,0.477,"Creighton",0.206,0.112,0.187,0.87,1,0,0,0,0.147,0.094,4.39,0.201,0.101,1.991,4.17,0.234,0.329,0.357,0.686,0.298,0.381,0.088,0.03,0.153,0.011,0.022,0.012,0.167,0.125,0.063,0.019,0.057
2018,0.248,0.346,0.336,"Lehigh",0.192,0.116,0.088,0.682,0,0,0,0,0.097,0.076,4.59,0.194,0.107,1.808,4,0.266,0.367,0.369,0.736,0.362,0.282,0.052,0.007,0.112,0.016,0.018,0.022,0.127,0.141,0.063,0.005,0.056
2013,0.281,0.357,0.377,"Michigan St.",0.127,0.084,0.096,0.734,0,0,0,0,0.113,0.043,3.22,0.16,0.072,2.23,3.99,0.239,0.316,0.321,0.637,0.358,0.365,0.056,0.011,0.119,0.014,0.017,0.021,0.133,0.103,0.05,0.008,0.047
2013,0.217,0.31,0.275,"Mississippi Val.",0.21,0.099,0.058,0.585,0,0,0,0,0.071,0.111,8.17,0.107,0.114,0.937,4.58,0.337,0.436,0.487,0.923,0.363,0.391,0.038,0.005,0.086,0.004,0.014,0.013,0.098,0.226,0.085,0.013,0.03
